Date,Open,High,Low,Close,Volume,P_news_pos,P_news_neg,P_op_pos,P_op_neg,Next_Open
2012-07-23,21.228571,21.639286,20.989643,21.565357,487975600,0.0,0.0,0.3333333333333333,0.3333333333333333,21.692142
2012-07-24,21.692142,21.774286,21.375357,21.46143,565132400,0.0,0.0,0.0,0.0,20.536072
2012-07-27,20.536072,20.922501,20.413929,20.898571,403936400,0.0,0.0,0.0,1.0,21.104286
2012-07-30,21.104286,21.408571,20.99357,21.251072,379142400,0.0,0.0,0.0,1.0,21.543928
2012-07-31,21.543928,21.84643,21.525715,21.812857,462327600,0.0,0.0,0.5,0.0,23.102858
2012-08-10,23.102858,23.127144,22.718214,22.791786,637994000,0.0,0.0,0.0,1.0,22.566786
2012-08-14,22.566786,22.807501,22.5075,22.560356,340169200,0.0,0.0,0.0,1.0,22.546429
2012-08-15,22.546429,22.642857,22.419643,22.529642,257342400,0.0,0.0,0.0,0.0,22.543215
2012-08-16,22.543215,22.741428,22.517857,22.726429,254534000,0.0,0.0,0.0,0.0,22.857143
2012-08-17,22.857143,23.149643,22.814644,23.146786,442761200,0.0,0.0,0.0,0.0,23.957857
2012-08-21,23.957857,24.102858,23.22607,23.430714,812719600,0.0,0.0,0.0,0.3333333333333333,23.372143
2012-08-22,23.372143,23.892857,23.146786,23.888214,565322800,0.0,0.0,0.5,0.0,23.789642
2012-08-23,23.789642,23.924999,23.612499,23.665358,420128800,0.0,0.0,0.0,0.0,24.285357
2012-08-27,24.285357,24.316786,24.055,24.13143,427008400,0.0,0.0,0.0,0.0,24.106428
2012-08-28,24.106428,24.146429,23.952499,24.1,267416800,0.0,0.0,0.0,0.3333333333333333,23.951429
2012-08-30,23.951429,23.983929,23.673214,23.709642,302699600,0.0,0.0,1.0,0.0,24.191786
2012-09-13,24.191786,24.482143,24.098928,24.392143,598360000,0.0,0.0,0.6666666666666666,0.0,24.976786
2012-09-17,24.976786,24.992857,24.807501,24.992144,398031200,0.0,0.0,1.0,0.0,24.969999
2012-09-20,24.969999,25.002144,24.772142,24.953571,336568400,0.0,0.0,1.0,0.0,24.530714
2012-09-24,24.530714,24.825714,24.392857,24.67107,639766400,0.0,0.0,0.5,0.0,24.580713
2012-09-25,24.580713,24.742144,24.035713,24.055,518789600,0.0,0.0,0.0,1.0,23.883572
2012-09-26,23.883572,24.024643,23.614286,23.75643,576503200,0.0,0.0,0.0,0.0,24.241072
2012-09-28,24.241072,24.325357,23.8125,23.825001,535110800,0.0,0.0,1.0,0.0,22.096786
2012-10-08,22.096786,22.205713,22.09643,22.203571,194938800,0.0,0.0,0.0,0.0,24.301786
2012-10-09,24.301786,24.403214,23.646429,23.669287,487998000,0.0,0.0,0.3333333333333333,0.3333333333333333,22.847857
2012-10-10,22.847857,23.035,22.75,22.889643,510356000,0.0,0.0,0.0,0.5,18.75
2012-10-12,18.75,19.2325,18.627857,18.922144,630484400,0.0,0.0,0.0,0.5,22.583929
2012-10-15,22.583929,22.683214,22.280357,22.67,432502000,0.0,0.0,0.0,0.0,22.691786
2012-10-16,22.691786,23.225,22.535713,23.206785,549771600,0.0,0.0,0.0,0.0,22.842501
2012-10-18,22.842501,22.930714,22.5,22.594286,476624400,0.0,0.0,0.3333333333333333,0.3333333333333333,22.5375
2012-10-19,22.5375,22.563213,21.772142,21.780001,744086000,0.0,0.0,0.0,0.0,21.872143
2012-10-22,21.872143,22.692142,21.812857,22.643929,546730800,0.0,1.0,0.3333333333333333,0.0,22.535713
2012-10-23,22.535713,22.639286,21.84643,21.905714,707145600,0.0,0.0,0.16666666666666666,0.5,22.194286
2012-10-24,22.194286,22.376785,21.808571,22.029642,558527200,0.0,0.0,0.0,1.0,22.142857
2012-10-25,22.142857,22.214287,21.626785,21.769285,656325600,0.0,0.0,0.25,0.5,21.765356
2012-10-26,21.765356,21.928572,21.107143,21.571428,1018432800,0.0,0.0,0.25,0.5,21.245714
2012-10-31,21.245714,21.498571,20.989286,21.261429,510003200,0.0,0.0,0.0,0.5,23.753929
2012-11-09,23.753929,23.932142,23.446428,23.592501,503983200,0.0,0.0,0.3333333333333333,0.6666666666666666,23.089287
2012-11-10,23.089287,23.114286,22.432142,22.432142,546081200,0.0,0.0,0.0,0.0,19.2775
2012-11-12,19.2775,19.627144,19.191786,19.335358,592345600,0.0,0.0,0.0,0.5,19.246786
2012-11-13,19.246786,19.66,19.155714,19.389286,532949200,0.0,0.0,0.2,0.4,19.482143
2012-11-14,19.482143,19.551786,19.149286,19.174286,477170400,0.0,0.0,0.0,0.3333333333333333,19.1975
2012-11-15,19.1975,19.267857,18.665001,18.772142,789910800,0.0,0.0,0.0,0.5,18.757143
2012-11-16,18.757143,18.928572,18.0625,18.845715,1266893600,0.0,0.0,0.0,0.0,19.311071
2012-11-19,19.311071,20.267857,19.281429,20.204643,823317600,0.0,0.0,0.25,0.0,20.425358
2012-11-20,20.425358,20.426786,19.806429,20.032499,642754000,0.0,0.0,0.2857142857142857,0.14285714285714285,20.151787
